GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump_comp,196,17615,208,20013,230,20843,170,15700,263,22923,181,19086,206,18479,148,15647,187,16580,201,17871
1636,num_simulations=10,217,19029,169,15888,192,18797,198,19057,208,18799,221,18776,167,15830,169,16033,189,16884,210,20017
1636,sheet=8,214,19737,195,18174,228,20147,150,15401,198,17039,118,13408,163,14694,216,19701,195,18687,183,19481
5834,scale=10,184,17853,149,17950,151,16197,188,17141,188,17938,142,16133,131,16044,156,16547,155,18199,169,17694
5834,cell_count=17000,159,16438,156,16792,144,16919,149,17377,133,16716,155,16874,140,16731,146,16936,174,19106,157,16399
5834,muG=0,162,16851,177,17845,161,17793,183,18005,138,15191,147,17104,171,17801,138,16838,144,17552,125,15600
15010,sigmaG=1,2106,126992,2013,131619,2206,123401,2107,126644,2233,121594,2385,128138,1970,127071,2089,130371,2245,136451,2419,107229
15010,muR=12,1914,123265,2231,129755,2155,126645,2367,118311,2092,134994,2310,130947,2419,128687,2090,123634,2297,136238,2232,128337
15010,sigmaR=1,2372,129888,2296,128180,2257,127450,2284,126144,2548,116919,2256,125132,2051,123307,2319,121391,2142,129756,2126,120566
38342,gamma=0.45,6900,404981,6790,386076,6919,396369,6798,376417,6791,387290,6388,382415,7150,373403,6978,377553,6530,409773,7031,405772
38342,vMax=10000.0,7088,387694,6554,405336,7260,369962,7122,407998,6870,400012,6746,404404,6964,414408,6444,406198,6702,400801,6700,391369
38342,remove=1,7099,380118,6718,388090,7136,369978,7046,390185,6667,396690,6544,399880,6712,361988,7158,378710,6694,388527,6777,402152
97262,scheme=sphere_packing,7610,375399,8436,366208,7242,390162,8517,368175,7665,375880,8027,382664,7535,398548,7607,378802,7987,375512,7706,391736
97262,distribution=fixed,7452,384103,9198,383817,7592,387166,7204,386324,7433,391438,7483,381541,7517,384255,7801,392837,7813,388606,7394,381767
97262,ub=300,7652,404198,8260,375572,7340,387229,7484,382156,7609,388584,8165,377563,7795,389134,7291,389213,7961,378277,7069,392137
245031,lb=150,11464,709440,11742,699389,11757,706629,12010,692962,11207,701068,11773,700553,11560,702874,12043,689286,11650,702217,11834,694365
245031,mean=230,12431,693507,12407,700295,13087,679977,12098,692132,12270,691204,11419,695037,11910,702182,12055,693803,11673,689686,12176,686193
245031,kappa=0.0,11287,701926,11898,701645,12560,680641,12165,692047,11661,698356,11371,700642,12735,676512,11799,692144,11864,695087,12100,688807
613131,FILLER,16701,2589634,16688,2655501,16713,2623561,16595,2676549,16578,2686305,16656,2643190,16647,2635861,16703,2627011,16554,2680073,16719,2616074
613131,FILLER,16813,2460555,16651,2633634,16647,2591389,16643,2618056,16707,2612165,16756,2578076,16735,2580564,16709,2586978,16600,2647363,16573,2664522
613131,FILLER,16767,2535951,16714,2616793,16628,2662906,16534,2682730,16728,2572678,16811,2513183,16617,2659816,16599,2650506,16621,2662125,16814,2500344
1524000,FILLER,16994,7403138,16993,7252483,16997,7108028,16996,7356870,16995,7242047,16998,7308200,16997,6892061,16994,7236881,16995,7141018,16998,7058199
1524000,FILLER,16996,6929064,16996,7189719,16998,7001779,16997,7205861,16997,7117562,16998,7114401,17000,6899195,16997,7018757,16997,7263745,16999,6911181
1524000,FILLER,16996,6630888,16994,7267830,16996,6880810,16995,7202446,16997,7110977,16996,7208305,16996,7185412,16995,7137780,16995,6912190,16989,7343912
