GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2,GFP IU run=3,GFP IU run=4,GFP IU run=5
33,simul_name=comp,0,0,0,0,2,3
33,num_simulations=50,1,1,1,0,1,1
33,sheet=3,0,1,1,0,0,0
42,scale=50,5,0,1,0,0,1
42,cell_count=4600,2,0,1,1,0,0
42,muG=0,3,0,0,1,2,0
83,sigmaG=1,0,0,2,4,4,1
83,muR=12,2,0,0,1,0,1
83,sigmaR=1,2,2,3,1,2,4
168,gamma=0.45,1,2,4,3,1,1
168,vMax=1600.0,3,4,2,1,2,3
168,remove=1,2,4,0,7,2,2
330,kappa=-0.03,5,3,5,6,7,5
330,FILLER,7,9,11,2,6,3
330,FILLER,7,7,13,6,2,6
666,FILLER,12,13,9,16,18,16
666,FILLER,7,15,18,19,16,24
666,FILLER,20,12,11,12,12,17
1320,FILLER,37,37,23,38,27,34
1320,FILLER,38,45,36,31,24,31
1320,FILLER,36,36,38,27,36,25
2640,FILLER,124,113,90,108,64,93
2640,FILLER,86,91,97,89,88,108
2640,FILLER,100,89,90,94,103,80
4020,FILLER,251,180,199,161,211,188
4020,FILLER,178,201,195,190,221,196
4020,FILLER,186,189,218,191,212,199
5340,FILLER,410,301,276,290,295,264
5340,FILLER,324,381,284,284,275,316
5340,FILLER,337,259,300,317,314,344
6659,FILLER,455,532,402,453,471,449
6659,FILLER,547,380,420,483,516,483
6659,FILLER,422,629,506,477,446,491
7980,FILLER,536,646,612,533,561,595
7980,FILLER,627,653,675,759,646,485
7980,FILLER,686,720,617,661,630,666
9359,FILLER,785,1119,977,926,879,1006
9359,FILLER,1035,857,702,853,808,789
9359,FILLER,919,762,732,1079,823,1150
10680,FILLER,1071,1273,1132,1009,1056,1197
10680,FILLER,1212,1170,1102,972,1176,1017
10680,FILLER,1127,1151,975,1095,1518,1097
12000,FILLER,1481,1372,1965,1320,1399,1385
12000,FILLER,1303,1135,1887,1502,1208,1362
12000,FILLER,1302,1299,1327,1135,1573,1510
13200,FILLER,1857,1835,1376,1625,1996,1244
13200,FILLER,1554,1840,1465,1750,1601,1653
13200,FILLER,1544,1517,1601,1658,1497,1450
33000,FILLER,3579,3609,3605,3619,3814,3706
33000,FILLER,3579,3691,3664,3625,3624,3653
33000,FILLER,3645,3688,3639,3555,3547,3669
61140,FILLER,4206,4314,4250,4394,4257,4268
61140,FILLER,4236,4325,4367,4216,4280,4231
61140,FILLER,4300,4331,4269,4341,4260,4276
100199,FILLER,4500,4493,4517,4453,4463,4524
100199,FILLER,4517,4488,4529,4482,4485,4484
100199,FILLER,4525,4495,4484,4484,4471,4488
133260,FILLER,4547,4544,4525,4562,4547,4549
133260,FILLER,4535,4561,4546,4540,4557,4531
133260,FILLER,4530,4534,4530,4553,4543,4536
199799,FILLER,4578,4581,4580,4578,4574,4579
199799,FILLER,4588,4578,4589,4574,4577,4584
199799,FILLER,4583,4587,4578,4584,4588,4586
266358,FILLER,4587,4596,4594,4587,4597,4594
266358,FILLER,4592,4591,4593,4594,4588,4598
266358,FILLER,4590,4591,4595,4594,4590,4588
300000,FILLER,4596,4596,4596,4595,4599,4592
300000,FILLER,4598,4599,4599,4597,4595,4596
300000,FILLER,4590,4598,4591,4590,4595,4596
