GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0
16,simul_name=var_clump_diam,2,88
16,num_simulations=3,0,62
16,sheet=3,0,40
21,scale=100,1,89
21,cell_count=2300,0,113
21,muG=0,3,500
41,sigmaG=1,3,597
41,muR=12,0,190
41,sigmaR=1,3,380
84,gamma=0.45,4,426
84,vMax=1000.0,3,547
84,remove=1,2,639
165,scheme=sphere_packing,8,1864
165,distribution=fixed,13,2054
165,ub=300,9,1495
333,lb=150,14,2281
333,mean=230,13,2585
333,diameter_func=constant,11,2745
660,FILLER,37,5823
660,FILLER,26,4244
660,FILLER,17,5152
1320,FILLER,44,9527
1320,FILLER,39,10336
1320,FILLER,46,10562
2010,FILLER,86,16769
2010,FILLER,101,16708
2010,FILLER,64,13535
2670,FILLER,106,20171
2670,FILLER,132,23576
2670,FILLER,119,23104
3329,FILLER,158,31591
3329,FILLER,118,27669
3329,FILLER,162,30892
3990,FILLER,168,35127
3990,FILLER,186,35869
3990,FILLER,190,34349
4679,FILLER,222,39617
4679,FILLER,228,45063
4679,FILLER,193,43058
5340,FILLER,257,54930
5340,FILLER,224,43492
5340,FILLER,256,50965
6000,FILLER,271,54155
6000,FILLER,302,59365
6000,FILLER,277,62633
6600,FILLER,283,59338
6600,FILLER,248,52087
6600,FILLER,298,61916
16500,FILLER,631,142285
16500,FILLER,648,142617
16500,FILLER,586,136637
30570,FILLER,989,268788
30570,FILLER,1027,271424
30570,FILLER,1014,280809
50099,FILLER,1365,430592
50099,FILLER,1440,459611
50099,FILLER,1411,463485
66630,FILLER,1648,596446
66630,FILLER,1610,600454
66630,FILLER,1655,632257
99899,FILLER,1898,911270
99899,FILLER,1885,876302
99899,FILLER,1914,952680
133179,FILLER,2055,1210560
133179,FILLER,2075,1177583
133179,FILLER,2071,1200700
150000,FILLER,2105,1339975
150000,FILLER,2113,1347381
150000,FILLER,2115,1346742
